Action List Username(doer) Player OldScore (NewScore) (ToAdd)

add 1 KraY Rain 7 0 7
add 1 KraY Ekate 7 0 7
add 1 KraY Etere 7 0 7
add 1 KraY Matt 7 0 7
add 1 KraY Matt 13 7 6
add 1 KraY Rain 13 7 6
add 1 KraY Hypnos 6 0 6
add 1 KraY Alexio 1 0 1
add 1 KraY Bryam 1 0 1
add 1 KraY Ekate 8 7 1
add 1 KraY Etere 8 7 1
add 1 KraY Marty9.2 6 0 6
add 1 KraY Rain 19 13 6
add 1 KraY Hypnos 12 6 6
add 1 KraY Marty9.2 12 6 6
add 1 KraY Giuwulio 6 0 6
add 1 KraY Alexio 2 1 1
add 1 KraY Matt 14 13 1
add 1 KraY Ekate 9 8 1
add 1 KraY Bryam 2 1 1
add 1 KraY Astra 6 0 6
add 1 KraY Chob 6 0 6
add 1 KraY Faber24 6 0 6
add 1 KraY Drexan 6 0 6
add 1 KraY Amelio 1 0 1
add 1 KraY Genesis 1 0 1
add 1 KraY Nedax 1 0 1
add 1 KraY Time 1 0 1
add 1 KraY Etere 14 8 6
add 1 KraY Astral 6 0 6
remove 1 KraY Astral 6
add 1 KraY Astra 12 6 6
add 1 KraY Nedax 7 1 6
add 1 KraY Reed 6 0 6
add 1 KraY Genesis 2 1 1
add 1 KraY Drexan 7 6 1
add 1 KraY Faber24 7 6 1
add 1 KraY Chob 7 6 1
add 1 KraY Genesis 9 2 7
add 1 KraY Sparta 7 0 7
add 1 KraY Zydo 7 0 7
add 1 KraY Nedax 14 7 7
